review,sentiment
"One of the more intelligent serial killer movies in recent history. ZODIAC KILLER offers an imaginative take on the background and history of one of the most notorious serial killers. The filmmakers create an unexpectedly good insight into the pathology of this mysterious killer, and anyone who remembers Zodiac will be intrigued. Others will want to discover more about this enigmatic criminal. Unlike many serial killers, Zodiac was not insane at all but very methodical and a self-promoter. The director here plays viewer expectations and pulls it off. The film is constructed as a murder mystery, or a ""cold case""-style thriller. It is an intelligent investigative/procedural-style horror film that will put-off gore-hounds in search of cheap thrills.<br /><br />Some people dislike any movie that is shot on video. This attitude is very old-style and provincial. It is an attitude and view of movies that puts technical issues above entertainment value or artistic value. These attitudes are on the way out. ZODIAC KILLER is a low-budget film, no doubt, but discerning viewers will look beyond that and find a carefully-crafted gem.",positive
"I knew this film was supposed to be so bad it was funny, so I went into it with that expectation. I just found it to be so bad it was murderously boring. The whiny theme song is funny for about 10 seconds, until you realize there is nothing clever about it except its intentionally irritating quality. Seeing things get splattered with tomatoes gets old in about 30 seconds. There is just nothing clever or funny about the film except for the premise. It could sustain a 3-4 minute comedy sketch maybe, but this is just not a feature film by any stretch of the imagination.",negative
"There was such a hype about a game show with Bill Shatner...and especially right in the wake of Deal or No Deal and 1 vs 100. So, of course everyone had to tune in to see what all the fuss was about on the new game show. What a disappointment! As Ben Stein so stoically and nasally says, ""wooww"".<br /><br />The only thing likable about this show was the fact that you knew it would eventually be over. Sitting through a full hour of it was like going to the dentist...you find yourself looking at the clock in what you think are 10 minute intervals, only to find out that only a minute has passed (but seemed like an eternity) since you last glanced at the clock. So, why didn't I just switch the channel? Well, probably for the same reason most other people didn't...out of sheer optimism. I mean, no one really *wants* to think that a show with Bill Shatner could actually be SO BAD.<br /><br />Personally, from the first 15 minutes, I never thought this was the kind of vehicle that would showcase the talents of William Shatner. My chief complaint was that the set was so dark. Watching it left me feeling depressed. You kept on wanting to get ahold of a little excitement, but there was just none to be had. There was not even enough light on the set to get a feel of energy from the audience (who you couldn't even see).<br /><br />Dear Network: People do not watch game shows to cure their insomnia...they watch game shows to be excited and have a good time. Please do us all a favor and lose this in the vault.",negative
"Sure, most people will designate ""Island of the Fishmen"" as silly and trashy hokum, but can you honestly name one other movie that brings forward THIS many exhilarating themes? This Italian gem stands for pure entertainment and features stuff like voodoo, volcanic eruptions, mutant fish-creatures, the mysterious continent of Atlantis, treasure-hunting, a remote island filled with death traps and utterly mad scientists! All this and much more in one simple movie? Yes, please! Close-minded opponents of Italian horror cinema can easily tag this film as a cheap exploitation version of ""The Island of Dr. Moreau"", but the truth is that this is so much more! ""Island of the Fishmen"" delivers thrills and adventure from start to finish with surprisingly convincing special effects and astonishingly stylish camera-work. The story promisingly opens with a small group of prisoners, survivors of a shipwreck, washing ashore a tropical island. They encounter the sadistic Edmond Rackham who rules over a native tribeand a legion of genetically created amphibian monsters that live in the island's swamps. There are so many twists and additional sub-plots in the story that it's almost impossible to write a summary but, trust me, this gem is worth checking out. Sergio Martino once again proves that he's an ingenious filmmaker who has the talent to be commercial-minded and creative at the same time. He makes great use of the beautiful island location and also the interior sets look very impressive. The staggering underwater footage and imaginative scenery really lift this film high above the normal standards of late 70's exploitation. I don't quite understand why Roger Corman reworked the original so much and released it on the American market under a different title (""Screamers""), because there are very few elements open for improvement. The cast members are all Sergio Martino regulars (with the exception of the great Joseph Cotton is a neat supportive rule) and give away great performances. In case you can get your hands on the recently restored German version, you're treated to fifteen uncut minutes of extra action. See it!",positive
"Low budget, mostly no name actors. . . this is what a campy horror flick is supposed to be all about. These are the types of movies that kept me on the edge of my seat as a kid staying up too late to watch cable. If you liked the 80's horror scene this is the movie for you.",positive
"....You get this stupid excuse of a Child's Play rip-off! Man, what were they thinking? First they mess with a Rumpelstiltskin horror movie then they make crap like this. Fariy Tale haters! Well to be honest, I've seen this as a kid, and it scared me a bit a lot, simply because I was under aged with the assumption that Pinocchio wouldn't do that, wah wah wah. But I've grown and come to think of this as Child's Play rip, a fairy tale bashing nonsense, and a lame Tales From The Crypt episode, or trying to be one at least, with a lame ending that was stupid, and it had many plot holes, and I still can't understand how it came to life. Was it the work of an evil Geppetto? Then what, after a few evil deeds, he becomes a real boy who becomes America's Most Wanted? Personally, I think the concept of an evil Geppetto sounds better, he builds an army of wooden killers, and starts a crime wave, funny. But this is awful, awful, awful, awful, AWFUL! AWFUL! Stinky like a shoe, and awful! IT SUCKED IT SUCKED! If you want killer puppets, settle for the killer doll, specifically Child's Play, instead, no strings attached. Or if you want a fairy tale figure turned upside down, watch Leprechaun, or if you want Pinocchio, watch the animated Disnet version or live version with Jonathan Taylor Thomas and Martin Landau instead. >>>>> -10/10(negative 10)",negative
"I don't know how people can watch this - the only people who enjoy watching this are those who have no feelings and emotions and enjoy watching people die, houses burn down, car crashes, babies die, and cast members being killed off every week. Its the most absurd thing on television and i still don't know how it pulls in the ratings. Its so depressing. I can imagine the writers sitting down and saying - 'so who shall we kill of next week then' or 'whose house shall we torch in a months time?'<br /><br />Its the most depressing, absurd and most stupid thing on TV at the moment, and i cant understand peoples motives for watching this depressing pile of crap anymore",negative
"This movie is excellent. I found it very interesting. I thought the Wendigo legend was pretty cool. The acting was also great, as well as the costumes, production, photography, directing and script. <br /><br />A very happy family, on vacation gets stranded in the middle of nowhere after they hit a deer. A huntsman then appears and is very angry and outraged over the fact that one of the deer's antler's is broken. He then starts to stalk the family and weird things start to happen to them. <br /><br />See this movie. It's worth it. Kudos to the cast, crew and filmmakers. Two Thumbs Way Up!",positive
"Hilarious, clean, light-hearted, and quote-worthy. What else can you ask for in a film? This is my all-time, number one favorite movie. Ever since I was a little girl, I've dreamed of owning a blue van with flames and an observation bubble.<br /><br />The cliché characters in ridiculous situations are what make this film such great fun. The wonderful comedic chemistry between Stephen Furst (Harold) and Andy Tennant (Melio) make up most of my favorite parts of the movie. And who didn't love the hopeless awkwardness of Flynch? Don't forget the airport antics of Leon's cronies, dressed up as Hari Krishnas: dancing, chanting and playing the tambourine--unbeatable! The clues are genius, the locations are classic, and the plot is timeless.<br /><br />A word to the wise, if you didn't watch this film when you were little, it probably won't win a place in your heart today. But nevertheless give it a chance, you may find that ""It doesn't matter what you say, it doesn't matter what you do, you've gotta play.""",positive
"From producer/writer/Golden Globe nominated director James L. Brooks (Terms of Endearment, As Good as It Gets) this is a really good satirical comedy film showing behind the scenes in the life of a news reporter/anchor/journalist or producer might be like. Basically Jane Craig (Oscar and Golden Globe nominated Holly Hunter) falls for new reporter Tom Grunick (Oscar and Golden Globe nominated William Hurt), but correspondent Aaron Altman (Oscar nominated Albert Brooks) also has strong feelings for her. The network prepares for big changes, and sparks will fly with all members of the studio. Also starring Jack Nicholson as anchor Bill Rorich, Moonraker's Lois Chiles as Jennifer Mack, Mrs. Doubtfire's Robert Prosky as Ernie Merriman, School of Rock's Joan Cusack as Blair Litton, Peter Hackes as Paul Moore, Christian Clemenson as Bobby, Robert Katims as Martin Klein, Ed Wheeler as George Wein and Stephen Mendillo as Gerald Grunick. The comedy is subtle but strong, the romance has it's moments, and it is certainly a believable situation film. It was nominated the Oscars for Best Cinematography, Best Film Editing, Best Writing, Screenplay Written Directly for the Screen and Best Picture, and it was nominated the Golden Globe for Best Motion Picture - Comedy/Musical and Best Screenplay - Motion Picture. It was number 64 on 100 Years, 100 Laughs. Very good!",positive
